SYMBOL	Type_Element	Element_ID	OncodriveFML_q	MutSigCV_q	DriverPower_q	Number_mutations	Coordinates
MAGEA4	gc19_pc.promCore	gc19_pc.promCore::gencode::MAGEA4::ENSG00000147381.7	1.0	0.44838912405550985	0.04462444969247139	2	chrX:151080780-151081014;chrX:151081020-151081253;chrX:151081273-151081441;chrX:151081447-151081560;chrX:151081734-151082060;chrX:151082066-151082176;chrX:151082423-151082748;chrX:151082754-151082864;chrX:151083101-151083430;chrX:151083436-151083552;chrX:151083779-151084109;chrX:151084115-151084179;chrX:151084466-151084792;chrX:151084798-151084866;chrX:151085145-151085474;chrX:151085480-151085545;chrX:151085823-151086153;chrX:151086159-151086223;chrX:151086498-151086828;chrX:151086834-151086898;chrX:151087173-151087509;chrX:151087515-151087573
IFT80	gc19_pc.3utr	gc19_pc.3utr::gencode::IFT80::ENSG00000068885.10	1.0	0.9645149197910377	0.13280594321283387	5	chr3:159974773-159976312;chr3:160016866-160017051
G079691	lncrna.promCore	lncrna.promCore::mitranscriptome::G079691::G079691	1.0	1	4.6701740474830444e-06	7	chr8:17871136-17871452
G079691	lncrna.ncrna	lncrna.ncrna::mitranscriptome::G079691::G079691	1.0	1.0	3.5570352050484644e-05	7	chr8:17838967-17839396;chr8:17871086-17871336
GPX3	gc19_pc.3utr	gc19_pc.3utr::gencode::GPX3::ENSG00000211445.7	1.0	1.0	0.0001660410982680105	7	chr5:150407725-150408554
IL33	gc19_pc.3utr	gc19_pc.3utr::gencode::IL33::ENSG00000137033.7	1.0	1.0	0.0009616914443343895	8	chr9:6256168-6257983
EPB41L1	gc19_pc.promCore	gc19_pc.promCore::gencode::EPB41L1::ENSG00000088367.16	1.0	1.0	0.0019875762333518847	12	chr20:34679225-34679534;chr20:34679540-34679797;chr20:34679803-34679963;chr20:34680401-34680735;chr20:34680741-34680891;chr20:34680897-34680958;chr20:34700147-34700327;chr20:34700347-34700402;chr20:34700408-34700547;chr20:34709443-34709561;chr20:34709581-34709738;chr20:34709744-34709843;chr20:34713165-34713324;chr20:34713344-34713365;chr20:34713455-34713565;chr20:34742463-34742818;chr20:34742824-34742871;chr20:34761490-34761665;chr20:34761685-34761699;chr20:34761882-34761890;chr20:34778486-34778523;chr20:34778725-34778886;chr20:34785601-34785760;chr20:34785969-34786001;chr20:34802094-34802258;chr20:34802368-34802494
NSUN3	gc19_pc.3utr	gc19_pc.3utr::gencode::NSUN3::ENSG00000178694.5	1.0	1.0	0.00352735672141058	8	chr3:93845334-93847389
LINC00662	lncrna.ncrna	lncrna.ncrna::gencode::LINC00662::ENSG00000261824.2	1.0	1.0	0.008512066101297178	6	chr19:28175487-28175515;chr19:28192398-28192553;chr19:28206693-28206766;chr19:28213936-28214088;chr19:28221180-28222789;chr19:28222809-28223355;chr19:28223703-28223875;chr19:28237005-28237248;chr19:28262571-28262740;chr19:28264870-28265160;chr19:28266664-28267703;chr19:28267709-28268152;chr19:28268172-28268305;chr19:28268311-28268546;chr19:28269547-28269548;chr19:28269568-28269679;chr19:28269685-28269951;chr19:28281398-28282809;chr19:28283907-28284140;chr19:28284160-28284302;chr19:28284439-28284517;chr19:28284523-28284558;chr19:28284564-28284848
CALD1	gc19_pc.3utr	gc19_pc.3utr::gencode::CALD1::ENSG00000122786.15	1.0	1.0	0.09486392782584473	7	chr7:134653096-134655479
G024705	lncrna.ncrna	lncrna.ncrna::mitranscriptome::G024705::G024705	1.0	1.0	0.1653356516204148	5	chr14:55116953-55117337;chr14:55117530-55117852;chr14:55119051-55119558;chr14:55119564-55120133
